note(canal, nota, intensidade), tick
note_on(3, 62, 100.0), 29760
note_off(3, 62, 64), 29808
note_on(3, 62, 100.0), 29808
note_off(3, 62, 64), 29856
note_on(3, 74, 100.0), 29856
note_off(3, 74, 64), 29904
note_on(3, 74, 100.0), 29904
note_off(3, 74, 64), 29952
note_on(3, 62, 100.0), 36096
note_off(3, 62, 64), 36144
note_on(3, 62, 100.0), 36144
note_off(3, 62, 64), 36192
note_on(3, 74, 100.0), 36192
note_off(3, 74, 64), 36240
note_on(3, 74, 100.0), 36240
note_off(3, 74, 64), 36288
note_on(3, 62, 100.0), 36288
note_off(3, 62, 64), 36336
note_on(3, 62, 100.0), 36336
